documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Apps,Media and Entertainment"
76744,"Software,Data and Analytics,Information Technology,Internet Services"
51517,"Manufacturing,Hardware,Consumer Electronics,Energy"
44883,"Financial Services,Software,Artificial Intelligence,Data and Analytics"
60983,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
71046,"Media and Entertainment,Internet Services,Education,Information Technology"
3780,"Health Care,Software,Mobile,Science and Engineering"
2782,"Music and Audio,Media and Entertainment,Software,Content and Publishing"
7105,"Design,Software,Internet Services,Sales and Marketing"
49132,"Commerce and Shopping,Clothing and Apparel,Design,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Apps"
71054,"Science and Engineering,Hardware,Health Care,Biotechnology"
52288,"Health Care,Science and Engineering,Software,Biotechnology"
30643,"Information Technology,Sales and Marketing,Internet Services,Commerce and Shopping"
50589,"Media and Entertainment,Content and Publishing,Internet Services,Software"
26194,"Information Technology,Internet Services,Software,Hardware"
4500,"Energy,Manufacturing,Sustainability,Natural Resources"
63904,"Sports,Media and Entertainment,Gaming,Internet Services"
16473,"Software,Mobile,Apps,Internet Services"
53851,"Privacy and Security,Information Technology,Hardware,Software"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Hardware,Media and Entertainment"
16590,"Gaming,Software,Media and Entertainment,Hardware"
77107,"Financial Services,Travel and Tourism,Commerce and Shopping,Lending and Investments"
140,"Media and Entertainment,Content and Publishing,Internet Services,Advertising"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Software"
43402,"Food and Beverage,Internet Services,Data and Analytics,Navigation and Mapping"
17637,"Software,Information Technology,Sales and Marketing,Professional Services"
56430,"Hardware,Manufacturing,Software,Science and Engineering"
57392,"Sustainability,Food and Beverage,Energy,Science and Engineering"
14246,"Media and Entertainment,Video,Gaming,Sports"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Information Technology,Payments"
48950,"Energy,Sustainability,Natural Resources,Hardware"
73463,"Sales and Marketing,Internet Services,Advertising,Media and Entertainment"
61591,"Software,Information Technology,Internet Services,Data and Analytics"
67779,"Clothing and Apparel,Design,Community and Lifestyle,Commerce and Shopping"
37128,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Mobile,Software,Internet Services,Apps"
19183,"Software,Financial Services,Information Technology,Data and Analytics"
46056,"Hardware,Software,Mobile,Consumer Electronics"
11936,"Internet Services,Software,Media and Entertainment,Community and Lifestyle"
77245,"Software,Mobile,Transportation,Apps"
18530,"Manufacturing,Hardware,Science and Engineering,Software"
8703,"Science and Engineering,Biotechnology,Health Care,Software"
31068,"Sales and Marketing,Advertising,Mobile,Software"
39966,"Food and Beverage,Commerce and Shopping,Software,Mobile"
60439,"Media and Entertainment,Content and Publishing,Commerce and Shopping,Internet Services"
26897,"Sales and Marketing,Advertising,Software,Internet Services"
53704,"Media and Entertainment,Gaming,Software,Internet Services"
7627,"Energy,Sustainability,Natural Resources,Real Estate"
57066,"Software,Information Technology,Sales and Marketing,Internet Services"
26816,"Video,Media and Entertainment,Software,Hardware"
23771,"Software,Sales and Marketing,Advertising,Mobile"
4872,"Mobile,Transportation,Software,Apps"
50082,"Energy,Sustainability,Natural Resources,Software"
56355,"Music and Audio,Media and Entertainment,Software,Education"
36524,"Software,Mobile,Apps,Internet Services"
17224,"Mobile,Software,Transportation,Navigation and Mapping"
76202,"Software,Data and Analytics,Artificial Intelligence,Information Technology"
70824,"Hardware,Manufacturing,Consumer Electronics,Information Technology"
41942,"Internet Services,Software,Information Technology,Media and Entertainment"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Consumer Goods"
76881,"Financial Services,Software,Payments,Hardware"
17313,"Software,Mobile,Education,Apps"
56024,"Sales and Marketing,Software,Advertising,Mobile"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Lending and Investments,Internet Services,Software"
36243,"Gaming,Financial Services,Payments,Software"
70675,"Hardware,Software,Science and Engineering,Consumer Electronics"
1318,"Media and Entertainment,Video,Hardware,Software"
55083,"Internet Services,Mobile,Software,Apps"
42080,"Software,Energy,Hardware,Information Technology"
65619,"Software,Information Technology,Internet Services,Financial Services"
7111,"Software,Internet Services,Mobile,Financial Services"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Events,Media and Entertainment,Community and Lifestyle,Travel and Tourism"
27301,"Commerce and Shopping,Sales and Marketing,Data and Analytics,Mobile"
333,"Mobile,Internet Services,Messaging and Telecommunications,Media and Entertainment"
27807,"Software,Information Technology,Data and Analytics,Messaging and Telecommunications"
23039,"Clothing and Apparel,Design,Community and Lifestyle,Commerce and Shopping"
42449,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
20105,"Software,Data and Analytics,Privacy and Security,Artificial Intelligence"
41929,"Software,Education,Mobile,Gaming"
21784,"Software,Commerce and Shopping,Transportation,Information Technology"
25420,"Information Technology,Software,Professional Services,Internet Services"
57622,"Software,Sales and Marketing,Information Technology,Professional Services"
37211,"Software,Information Technology,Health Care,Data and Analytics"
33261,"Software,Information Technology,Internet Services,Financial Services"
50999,"Energy,Sustainability,Hardware,Manufacturing"
5057,"Health Care,Food and Beverage,Sports,Commerce and Shopping"
60734,"Data and Analytics,Software,Sales and Marketing,Information Technology"
29692,"Education,Internet Services,Software,Media and Entertainment"
55855,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
44586,"Real Estate,Sustainability,Hardware,Manufacturing"
29733,"Biotechnology,Science and Engineering,Health Care,Agriculture and Farming"
28380,"Energy,Real Estate,Sustainability,Manufacturing"
41132,"Financial Services,Lending and Investments,Science and Engineering,Biotechnology"
57220,"Sales and Marketing,Internet Services,Advertising,Media and Entertainment"
10184,"Hardware,Software,Information Technology,Internet Services"
15410,"Media and Entertainment,Video,Advertising,Sales and Marketing"
11157,"Media and Entertainment,Content and Publishing,Video,Music and Audio"
21225,"Information Technology,Internet Services,Software,Privacy and Security"
67875,"Commerce and Shopping,Clothing and Apparel,Design,Community and Lifestyle"
50994,"Sales and Marketing,Advertising,Internet Services,Software"
53421,"Gaming,Sports,Software,Design"
2835,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
55620,"Media and Entertainment,Internet Services,Content and Publishing,Video"
54026,"Software,Mobile,Apps,Platforms"
58660,"Software,Information Technology,Hardware,Internet Services"
35590,"Commerce and Shopping,Software,Mobile,Internet Services"
40986,"Internet Services,Media and Entertainment,Software,Apps"
35284,"Software,Mobile,Internet Services,Information Technology"
75533,"Food and Beverage,Agriculture and Farming,Commerce and Shopping,Community and Lifestyle"
57073,"Internet Services,Messaging and Telecommunications,Information Technology,Mobile"
72990,"Information Technology,Hardware,Software,Internet Services"
24870,"Health Care,Science and Engineering,Biotechnology,Hardware"
49384,"Biotechnology,Science and Engineering,Health Care,Agriculture and Farming"
58184,"Software,Information Technology,Commerce and Shopping,Data and Analytics"
521,"Media and Entertainment,Music and Audio,Video,Content and Publishing"
9546,"Software,Data and Analytics,Information Technology,Internet Services"
9744,"Transportation,Science and Engineering,Software,Hardware"
55505,"Software,Sales and Marketing,Commerce and Shopping,Internet Services"
60979,"Energy,Transportation,Sustainability,Natural Resources"
1937,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
7721,"Media and Entertainment,Internet Services,Content and Publishing,Mobile"
10528,"Sports,Community and Lifestyle,Internet Services,Media and Entertainment"
38776,"Food and Beverage,Travel and Tourism,Commerce and Shopping,Internet Services"
