documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Platforms"
76744,"Software,Data and Analytics,Information Technology,Internet Services"
51517,"Manufacturing,Hardware,Consumer Electronics,Energy"
44883,"Financial Services,Software,Data and Analytics,Artificial Intelligence"
60983,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
71046,"Media and Entertainment,Internet Services,Information Technology,Hardware"
3780,"Health Care,Software,Mobile,Science and Engineering"
2782,"Music and Audio,Media and Entertainment,Content and Publishing,Software"
7105,"Design,Software,Internet Services,Sales and Marketing"
49132,"Commerce and Shopping,Design,Clothing and Apparel,Hardware"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Hardware"
71054,"Science and Engineering,Hardware,Software,Biotechnology"
52288,"Biotechnology,Health Care,Science and Engineering,Software"
30643,"Information Technology,Internet Services,Sales and Marketing,Commerce and Shopping"
50589,"Media and Entertainment,Content and Publishing,Education,Internet Services"
26194,"Information Technology,Software,Hardware,Internet Services"
4500,"Energy,Manufacturing,Sustainability,Hardware"
63904,"Sports,Media and Entertainment,Content and Publishing,Internet Services"
16473,"Software,Apps,Internet Services,Mobile"
53851,"Privacy and Security,Information Technology,Hardware,Software"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Hardware,Media and Entertainment"
16590,"Gaming,Hardware,Media and Entertainment,Software"
77107,"Travel and Tourism,Financial Services,Lending and Investments,Community and Lifestyle"
140,"Media and Entertainment,Content and Publishing,Sales and Marketing,Advertising"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Manufacturing"
43402,"Food and Beverage,Internet Services,Data and Analytics,Navigation and Mapping"
17637,"Software,Information Technology,Sales and Marketing,Financial Services"
56430,"Hardware,Manufacturing,Software,Consumer Electronics"
57392,"Health Care,Food and Beverage,Sustainability,Energy"
14246,"Media and Entertainment,Gaming,Video,Internet Services"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Information Technology,Payments"
