documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Software,Data and Analytics,Information Technology,Navigation and Mapping"
51517,"Hardware,Manufacturing,Consumer Electronics,Energy"
44883,"Financial Services,Software,Artificial Intelligence,Data and Analytics"
60983,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
71046,"Media and Entertainment,Software,Information Technology,Hardware"
3780,"Health Care,Software,Mobile,Apps"
2782,"Music and Audio,Media and Entertainment,Software,Content and Publishing"
7105,"Design,Software,Internet Services,Sales and Marketing"
49132,"Commerce and Shopping,Design,Clothing and Apparel,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Apps"
71054,"Science and Engineering,Software,Hardware,Health Care"
52288,"Biotechnology,Science and Engineering,Health Care,Software"
30643,"Information Technology,Internet Services,Commerce and Shopping,Transportation"
50589,"Media and Entertainment,Education,Internet Services,Content and Publishing"
26194,"Information Technology,Software,Hardware,Internet Services"
4500,"Manufacturing,Energy,Hardware,Sustainability"
63904,"Sports,Media and Entertainment,Content and Publishing,Internet Services"
16473,"Software,Apps,Mobile,Internet Services"
53851,"Privacy and Security,Information Technology,Hardware,Software"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Hardware,Consumer Electronics"
16590,"Gaming,Hardware,Media and Entertainment,Software"
77107,"Travel and Tourism,Financial Services,Community and Lifestyle,Lending and Investments"
140,"Media and Entertainment,Sales and Marketing,Advertising,Content and Publishing"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Data and Analytics"
43402,"Internet Services,Food and Beverage,Data and Analytics,Navigation and Mapping"
17637,"Information Technology,Software,Sales and Marketing,Data and Analytics"
56430,"Hardware,Manufacturing,Software,Science and Engineering"
57392,"Sustainability,Energy,Food and Beverage,Health Care"
14246,"Gaming,Media and Entertainment,Internet Services,Video"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Information Technology,Payments"
48950,"Energy,Sustainability,Natural Resources,Manufacturing"
73463,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
61591,"Information Technology,Software,Internet Services,Hardware"
67779,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
37128,"Sales and Marketing,Advertising,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Science and Engineering,Consumer Electronics"
42130,"Mobile,Internet Services,Software,Media and Entertainment"
19183,"Software,Information Technology,Financial Services,Data and Analytics"
46056,"Software,Hardware,Mobile,Information Technology"
11936,"Internet Services,Data and Analytics,Software,Media and Entertainment"
77245,"Software,Mobile,Transportation,Information Technology"
18530,"Manufacturing,Hardware,Science and Engineering,Design"
8703,"Biotechnology,Science and Engineering,Health Care,Data and Analytics"
31068,"Sales and Marketing,Advertising,Mobile,Software"
39966,"Food and Beverage,Software,Commerce and Shopping,Mobile"
60439,"Content and Publishing,Media and Entertainment,Education,Commerce and Shopping"
26897,"Sales and Marketing,Software,Advertising,Information Technology"
53704,"Gaming,Media and Entertainment,Internet Services,Software"
7627,"Energy,Real Estate,Sustainability,Natural Resources"
57066,"Software,Information Technology,Internet Services,Design"
26816,"Video,Media and Entertainment,Software,Mobile"
23771,"Sales and Marketing,Software,Advertising,Mobile"
4872,"Software,Mobile,Transportation,Apps"
50082,"Energy,Sustainability,Software,Hardware"
56355,"Music and Audio,Media and Entertainment,Software,Education"
36524,"Software,Mobile,Apps,Information Technology"
17224,"Mobile,Software,Transportation,Apps"
76202,"Data and Analytics,Software,Artificial Intelligence,Science and Engineering"
70824,"Hardware,Consumer Electronics,Privacy and Security,Manufacturing"
41942,"Internet Services,Software,Media and Entertainment,Information Technology"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Hardware"
76881,"Financial Services,Software,Payments,Information Technology"
17313,"Education,Software,Mobile,Apps"
56024,"Sales and Marketing,Advertising,Software,Mobile"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Software,Media and Entertainment,Payments"
36243,"Gaming,Financial Services,Payments,Software"
70675,"Software,Hardware,Transportation,Data and Analytics"
1318,"Media and Entertainment,Video,Software,Hardware"
55083,"Internet Services,Media and Entertainment,Software,Apps"
42080,"Software,Information Technology,Energy,Hardware"
65619,"Software,Information Technology,Financial Services,Professional Services"
7111,"Software,Financial Services,Internet Services,Apps"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Events,Media and Entertainment,Internet Services,Information Technology"
27301,"Navigation and Mapping,Commerce and Shopping,Internet Services,Data and Analytics"
333,"Media and Entertainment,Internet Services,Mobile,Software"
27807,"Science and Engineering,Artificial Intelligence,Software,Health Care"
23039,"Clothing and Apparel,Design,Community and Lifestyle,Commerce and Shopping"
42449,"Artificial Intelligence,Software,Data and Analytics,Science and Engineering"
20105,"Privacy and Security,Software,Data and Analytics,Science and Engineering"
