documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Data and Analytics,Software,Information Technology,Navigation and Mapping"
51517,"Hardware,Manufacturing,Consumer Electronics,Energy"
44883,"Financial Services,Artificial Intelligence,Data and Analytics,Science and Engineering"
60983,"Sales and Marketing,Advertising,Internet Services,Software"
71046,"Media and Entertainment,Software,Information Technology,Internet Services"
3780,"Health Care,Software,Mobile,Data and Analytics"
2782,"Music and Audio,Media and Entertainment,Software,Internet Services"
7105,"Design,Software,Internet Services,Sales and Marketing"
49132,"Commerce and Shopping,Clothing and Apparel,Design,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Science and Engineering,Health Care,Food and Beverage"
42233,"Software,Mobile,Information Technology,Apps"
71054,"Science and Engineering,Software,Hardware,Manufacturing"
52288,"Software,Science and Engineering,Information Technology,Biotechnology"
30643,"Internet Services,Commerce and Shopping,Information Technology,Software"
50589,"Media and Entertainment,Education,Content and Publishing,Internet Services"
26194,"Information Technology,Software,Hardware,Internet Services"
4500,"Manufacturing,Energy,Sustainability,Hardware"
63904,"Sports,Media and Entertainment,Content and Publishing,Internet Services"
16473,"Software,Apps,Mobile,Community and Lifestyle"
53851,"Privacy and Security,Information Technology,Hardware,Mobile"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Software,Education,Hardware,Consumer Electronics"
16590,"Gaming,Hardware,Media and Entertainment,Software"
77107,"Travel and Tourism,Financial Services,Software,Lending and Investments"
140,"Media and Entertainment,Sales and Marketing,Advertising,Content and Publishing"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Data and Analytics"
43402,"Internet Services,Data and Analytics,Navigation and Mapping,Food and Beverage"
17637,"Software,Information Technology,Sales and Marketing,Hardware"
56430,"Hardware,Manufacturing,Consumer Electronics,Software"
57392,"Sustainability,Energy,Health Care,Food and Beverage"
14246,"Media and Entertainment,Video,Internet Services,Gaming"
35059,"Software,Mobile,Apps,Platforms"
68549,"Software,Financial Services,Information Technology,Professional Services"
48950,"Energy,Sustainability,Natural Resources,Manufacturing"
73463,"Sales and Marketing,Internet Services,Advertising,Media and Entertainment"
61591,"Software,Information Technology,Internet Services,Hardware"
67779,"Design,Clothing and Apparel,Commerce and Shopping,Manufacturing"
37128,"Sales and Marketing,Advertising,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Mobile,Software,Internet Services,Media and Entertainment"
19183,"Software,Information Technology,Financial Services,Data and Analytics"
46056,"Software,Hardware,Mobile,Consumer Electronics"
11936,"Data and Analytics,Internet Services,Software,Media and Entertainment"
77245,"Software,Transportation,Mobile,Apps"
18530,"Manufacturing,Hardware,Science and Engineering,Software"
8703,"Science and Engineering,Biotechnology,Health Care,Software"
31068,"Sales and Marketing,Advertising,Mobile,Software"
39966,"Software,Commerce and Shopping,Food and Beverage,Mobile"
60439,"Content and Publishing,Media and Entertainment,Commerce and Shopping,Education"
26897,"Sales and Marketing,Software,Information Technology,Advertising"
53704,"Gaming,Media and Entertainment,Software,Internet Services"
7627,"Energy,Real Estate,Sustainability,Natural Resources"
57066,"Software,Information Technology,Design,Internet Services"
26816,"Video,Software,Media and Entertainment,Mobile"
23771,"Sales and Marketing,Software,Mobile,Advertising"
4872,"Transportation,Software,Mobile,Apps"
50082,"Energy,Sustainability,Software,Information Technology"
56355,"Music and Audio,Media and Entertainment,Software,Education"
36524,"Software,Mobile,Information Technology,Apps"
17224,"Software,Transportation,Mobile,Internet Services"
76202,"Software,Data and Analytics,Artificial Intelligence,Information Technology"
70824,"Hardware,Consumer Electronics,Privacy and Security,Manufacturing"
41942,"Internet Services,Software,Information Technology,Media and Entertainment"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Internet Services"
76881,"Financial Services,Payments,Software,Information Technology"
17313,"Education,Software,Mobile,Apps"
56024,"Sales and Marketing,Advertising,Mobile,Software"
17404,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
40481,"Financial Services,Software,Media and Entertainment,Internet Services"
36243,"Financial Services,Payments,Gaming,Software"
70675,"Software,Hardware,Transportation,Data and Analytics"
1318,"Media and Entertainment,Video,Software,Hardware"
55083,"Internet Services,Media and Entertainment,Software,Apps"
42080,"Software,Information Technology,Energy,Hardware"
65619,"Software,Information Technology,Financial Services,Professional Services"
7111,"Software,Financial Services,Internet Services,Apps"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Events,Media and Entertainment,Internet Services,Information Technology"
27301,"Internet Services,Navigation and Mapping,Data and Analytics,Commerce and Shopping"
333,"Media and Entertainment,Internet Services,Software,Mobile"
27807,"Software,Science and Engineering,Artificial Intelligence,Health Care"
23039,"Clothing and Apparel,Design,Community and Lifestyle,Commerce and Shopping"
42449,"Artificial Intelligence,Data and Analytics,Software,Science and Engineering"
20105,"Privacy and Security,Science and Engineering,Software,Artificial Intelligence"
