documentId,category_groups_list
53591,"Mobile,Sales and Marketing,Advertising,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Software,Data and Analytics,Information Technology,Science and Engineering"
51517,"Manufacturing,Energy,Hardware,Consumer Electronics"
44883,"Financial Services,Software,Data and Analytics,Science and Engineering"
60983,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
71046,"Media and Entertainment,Events,Internet Services,Video"
3780,"Health Care,Software,Mobile,Science and Engineering"
2782,"Media and Entertainment,Music and Audio,Financial Services,Software"
7105,"Design,Software,Internet Services,Commerce and Shopping"
49132,"Commerce and Shopping,Design,Clothing and Apparel,Internet Services"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Food and Beverage,Health Care,Biotechnology,Science and Engineering"
42233,"Software,Mobile,Apps,Information Technology"
71054,"Science and Engineering,Health Care,Hardware,Biotechnology"
52288,"Biotechnology,Health Care,Science and Engineering,Software"
30643,"Information Technology,Internet Services,Sales and Marketing,Software"
50589,"Media and Entertainment,Content and Publishing,Internet Services,Video"
26194,"Information Technology,Software,Hardware,Internet Services"
4500,"Energy,Sustainability,Manufacturing,Natural Resources"
63904,"Media and Entertainment,Content and Publishing,Internet Services,Sports"
16473,"Software,Mobile,Apps,Internet Services"
53851,"Privacy and Security,Hardware,Information Technology,Software"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Media and Entertainment,Internet Services"
16590,"Gaming,Software,Media and Entertainment,Hardware"
77107,"Financial Services,Transportation,Commerce and Shopping,Travel and Tourism"
140,"Media and Entertainment,Sales and Marketing,Video,Advertising"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Health Care,Biotechnology,Science and Engineering,Software"
43402,"Food and Beverage,Travel and Tourism,Internet Services,Software"
17637,"Software,Information Technology,Professional Services,Sales and Marketing"
56430,"Hardware,Manufacturing,Consumer Electronics,Software"
57392,"Manufacturing,Food and Beverage,Commerce and Shopping,Sustainability"
14246,"Media and Entertainment,Video,Internet Services,Software"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Information Technology,Payments"
48950,"Energy,Sustainability,Natural Resources,Manufacturing"
73463,"Sales and Marketing,Internet Services,Media and Entertainment,Advertising"
61591,"Software,Information Technology,Internet Services,Hardware"
67779,"Media and Entertainment,Community and Lifestyle,Commerce and Shopping,Internet Services"
37128,"Sales and Marketing,Advertising,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Mobile,Software,Internet Services,Media and Entertainment"
19183,"Software,Information Technology,Financial Services,Data and Analytics"
46056,"Hardware,Software,Mobile,Consumer Electronics"
11936,"Software,Internet Services,Data and Analytics,Media and Entertainment"
77245,"Software,Mobile,Transportation,Information Technology"
18530,"Manufacturing,Hardware,Science and Engineering,Consumer Electronics"
8703,"Health Care,Biotechnology,Science and Engineering,Data and Analytics"
31068,"Mobile,Sales and Marketing,Advertising,Software"
39966,"Commerce and Shopping,Software,Mobile,Sales and Marketing"
60439,"Media and Entertainment,Content and Publishing,Internet Services,Commerce and Shopping"
26897,"Sales and Marketing,Advertising,Software,Internet Services"
53704,"Media and Entertainment,Software,Gaming,Content and Publishing"
7627,"Energy,Sustainability,Natural Resources,Real Estate"
57066,"Software,Information Technology,Design,Hardware"
26816,"Media and Entertainment,Software,Mobile,Video"
23771,"Software,Sales and Marketing,Mobile,Advertising"
4872,"Mobile,Software,Transportation,Travel and Tourism"
50082,"Energy,Sustainability,Natural Resources,Software"
56355,"Music and Audio,Media and Entertainment,Software,Mobile"
36524,"Software,Mobile,Information Technology,Internet Services"
17224,"Mobile,Software,Transportation,Apps"
76202,"Software,Data and Analytics,Artificial Intelligence,Science and Engineering"
70824,"Hardware,Privacy and Security,Information Technology,Consumer Electronics"
41942,"Internet Services,Software,Media and Entertainment,Information Technology"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Consumer Goods"
76881,"Financial Services,Software,Payments,Data and Analytics"
17313,"Software,Education,Mobile,Apps"
56024,"Sales and Marketing,Advertising,Software,Mobile"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Software,Media and Entertainment,Internet Services"
36243,"Financial Services,Software,Payments,Gaming"
