documentId,category_groups_list
53591,"Sales and Marketing,Advertising,Mobile,Software"
45826,"Mobile,Software,Media and Entertainment,Apps"
76744,"Software,Data and Analytics,Information Technology,Internet Services"
51517,"Hardware,Manufacturing,Consumer Electronics,Energy"
44883,"Financial Services,Software,Artificial Intelligence,Data and Analytics"
60983,"Sales and Marketing,Advertising,Internet Services,Media and Entertainment"
71046,"Media and Entertainment,Internet Services,Information Technology,Software"
3780,"Health Care,Software,Mobile,Apps"
2782,"Music and Audio,Media and Entertainment,Software,Internet Services"
7105,"Design,Software,Internet Services,Commerce and Shopping"
49132,"Commerce and Shopping,Design,Clothing and Apparel,Hardware"
2651,"Hardware,Manufacturing,Consumer Electronics,Science and Engineering"
7515,"Biotechnology,Health Care,Science and Engineering,Food and Beverage"
42233,"Software,Mobile,Information Technology,Internet Services"
71054,"Science and Engineering,Software,Hardware,Health Care"
52288,"Health Care,Biotechnology,Software,Science and Engineering"
30643,"Information Technology,Internet Services,Commerce and Shopping,Sales and Marketing"
50589,"Media and Entertainment,Education,Internet Services,Content and Publishing"
26194,"Information Technology,Software,Hardware,Internet Services"
4500,"Manufacturing,Energy,Hardware,Sustainability"
63904,"Sports,Media and Entertainment,Content and Publishing,Internet Services"
16473,"Software,Apps,Internet Services,Mobile"
53851,"Privacy and Security,Information Technology,Hardware,Software"
66878,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
75731,"Education,Software,Hardware,Media and Entertainment"
16590,"Gaming,Hardware,Media and Entertainment,Software"
77107,"Travel and Tourism,Financial Services,Lending and Investments,Community and Lifestyle"
140,"Media and Entertainment,Sales and Marketing,Content and Publishing,Advertising"
56120,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
39051,"Biotechnology,Science and Engineering,Health Care,Software"
43402,"Internet Services,Food and Beverage,Data and Analytics,Navigation and Mapping"
17637,"Software,Information Technology,Sales and Marketing,Professional Services"
56430,"Hardware,Software,Manufacturing,Science and Engineering"
57392,"Sustainability,Health Care,Food and Beverage,Energy"
14246,"Gaming,Media and Entertainment,Video,Internet Services"
35059,"Software,Mobile,Apps,Platforms"
68549,"Financial Services,Software,Information Technology,Payments"
48950,"Energy,Sustainability,Natural Resources,Information Technology"
73463,"Sales and Marketing,Internet Services,Advertising,Media and Entertainment"
61591,"Information Technology,Software,Internet Services,Hardware"
67779,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
37128,"Advertising,Sales and Marketing,Mobile,Media and Entertainment"
68214,"Manufacturing,Hardware,Consumer Electronics,Science and Engineering"
42130,"Mobile,Internet Services,Software,Apps"
19183,"Software,Information Technology,Financial Services,Data and Analytics"
46056,"Software,Hardware,Mobile,Information Technology"
11936,"Internet Services,Software,Media and Entertainment,Data and Analytics"
77245,"Software,Transportation,Mobile,Information Technology"
18530,"Manufacturing,Hardware,Science and Engineering,Software"
8703,"Science and Engineering,Biotechnology,Health Care,Software"
31068,"Sales and Marketing,Advertising,Mobile,Software"
39966,"Commerce and Shopping,Software,Food and Beverage,Data and Analytics"
60439,"Media and Entertainment,Content and Publishing,Commerce and Shopping,Education"
26897,"Sales and Marketing,Software,Advertising,Information Technology"
53704,"Media and Entertainment,Gaming,Internet Services,Software"
7627,"Energy,Real Estate,Sustainability,Natural Resources"
57066,"Software,Information Technology,Internet Services,Sales and Marketing"
26816,"Video,Software,Media and Entertainment,Mobile"
23771,"Sales and Marketing,Software,Advertising,Mobile"
4872,"Mobile,Software,Transportation,Apps"
50082,"Energy,Sustainability,Information Technology,Software"
56355,"Music and Audio,Media and Entertainment,Software,Education"
36524,"Software,Mobile,Information Technology,Internet Services"
17224,"Mobile,Software,Transportation,Internet Services"
76202,"Software,Data and Analytics,Artificial Intelligence,Science and Engineering"
70824,"Hardware,Consumer Electronics,Manufacturing,Privacy and Security"
41942,"Internet Services,Software,Information Technology,Media and Entertainment"
38265,"Commerce and Shopping,Clothing and Apparel,Design,Consumer Goods"
76881,"Financial Services,Software,Payments,Mobile"
17313,"Education,Software,Mobile,Apps"
56024,"Sales and Marketing,Advertising,Software,Mobile"
17404,"Data and Analytics,Artificial Intelligence,Software,Science and Engineering"
40481,"Financial Services,Software,Media and Entertainment,Internet Services"
36243,"Financial Services,Gaming,Software,Payments"
70675,"Software,Hardware,Science and Engineering,Data and Analytics"
1318,"Video,Media and Entertainment,Software,Hardware"
55083,"Internet Services,Media and Entertainment,Software,Apps"
42080,"Software,Information Technology,Mobile,Hardware"
65619,"Software,Information Technology,Professional Services,Financial Services"
7111,"Software,Internet Services,Financial Services,Information Technology"
29006,"Media and Entertainment,Content and Publishing,Software,Mobile"
31102,"Events,Media and Entertainment,Internet Services,Information Technology"
27301,"Commerce and Shopping,Navigation and Mapping,Internet Services,Data and Analytics"
333,"Internet Services,Mobile,Media and Entertainment,Messaging and Telecommunications"
27807,"Software,Information Technology,Science and Engineering,Messaging and Telecommunications"
23039,"Clothing and Apparel,Design,Commerce and Shopping,Community and Lifestyle"
42449,"Artificial Intelligence,Software,Data and Analytics,Science and Engineering"
